domain,outlet,tier,priority,notes
esquireme.com,Esquire Middle East,UAE,P1,Motors section - Batch 1 target
whatson.ae,What's On Dubai,UAE,P1,Lifestyle/Cars - Batch 1 target
gulfnews.com,Gulf News,UAE,P1,Lifestyle/Your Money - Batch 1 target
timeoutdubai.com,Time Out Dubai,UAE,P1,Things To Do / Cars - Batch 2
arabianbusiness.com,Arabian Business,UAE,P2,Business/Lifestyle - Batch 2
harpersbazaararabia.com,Harper's Bazaar Arabia,UAE,P2,Travel
mojeh.com,MOJEH Magazine,UAE,P2,Travel/Motors
khaleejtimes.com,Khaleej Times,UAE,P2,Wheels section
blvd.ae,BLVD Magazine Dubai,UAE,P3,Travel/Motoring
thenationalnews.com,The National,UAE,P1,Business/Lifestyle
russianemirates.com,Russian Emirates,Expat,P1,Russian expat - Pitch 5
frenchmorning.com,French Morning Dubai,Expat,P1,French expat - Pitch 5
cntraveller.com,Conde Nast Traveller UK,UK,P1,Travel - long-term target
telegraph.co.uk,The Telegraph Travel,UK,P1,Travel - long-term target
robbreport.co.uk,Robb Report UK,UK,P1,Motors/Travel
tatler.com,Tatler,UK,P2,Travel
harpersbazaar.com,Harper's Bazaar UK,UK,P2,Travel
monocle.com,Monocle,UK,P2,Travel/Design
squaremile.com,Square Mile,UK,P2,Travel/Motoring
cntraveller.de,Conde Nast Traveller DE,Germany,P1,Reise
faz.net,FAZ Magazin,Germany,P1,Stil/Reise
spiegel.de,Der Spiegel Reise,Germany,P1,Reise
robbreport.de,Robb Report Deutschland,Germany,P1,Motoren/Reise
welt.de,Die Welt Reise,Germany,P2,Fernreisen
kommersant.ru,Kommersant Weekend,Russia,P1,Travel/Lifestyle
forbes.ru,Forbes Russia Life,Russia,P1,Travel
style.rbc.ru,RBC Style,Russia,P1,Travel/Motor
robbreport.ru,Robb Report Russia,Russia,P1,Cars/Travel
posta-magazine.ru,Posta Magazine,Russia,P2,Luxury travel
lefigaro.fr,Le Figaro Voyages,Europe,P2,Travel
bloomberg.com,Bloomberg Pursuits,Global,P1,long-term target only
ft.com,Financial Times,Global,P1,long-term target only
robbreport.com,Robb Report International,Global,P1,Motors/Travel
billionaire.com,Billionaire.com,Global,P2,Travel/Motors
spearswms.com,Spear's Magazine,Global,P2,Wealth/Travel
